display_name,positive_count,negative_count
Chicken,9,24
Common quail,9,1
Pig,7,111
Eggs,6,7
Horse,3,4
Goat,3,18
African ostrich,1,0
Water buffalo,1,1
Turkey,0,3
Bactrian camel,0,2
Mule deer,0,7
Cattle,0,4
Rabbit,0,2
